ch_name,spe_mean
adc_b1_ch0,10.0
adc_b1_ch1,10.0
adc_b1_ch2,10.0
adc_b1_ch3,10.0
adc_b1_ch4,10.0
adc_b1_ch5,10.0
adc_b1_ch6,10.0
adc_b1_ch7,10.0
adc_b1_ch8,10.0
adc_b1_ch9,10.0
adc_b1_ch10,10.0
adc_b1_ch11,10.0
adc_b1_ch12,10.0
adc_b1_ch13,10.0
adc_b1_ch14,10.0
adc_b1_ch15,10.0
adc_b2_ch0,10.0
adc_b2_ch1,10.0
adc_b2_ch2,10.0
adc_b2_ch3,10.0
adc_b2_ch4,10.0
adc_b2_ch5,10.0
adc_b2_ch6,10.0
adc_b2_ch7,10.0
adc_b2_ch8,10.0
adc_b2_ch9,10.0
adc_b2_ch10,10.0
adc_b2_ch11,10.0
adc_b2_ch12,10.0
adc_b2_ch13,10.0
adc_b2_ch14,10.0
adc_b2_ch15,10.0
adc_b3_ch0,10.0
adc_b3_ch1,10.0
adc_b3_ch2,10.0
adc_b3_ch3,10.0
adc_b3_ch4,10.0
adc_b3_ch5,10.0
adc_b3_ch6,10.0
adc_b3_ch7,10.0
adc_b3_ch8,10.0
adc_b3_ch9,10.0
adc_b3_ch10,10.0
adc_b3_ch11,10.0
adc_b3_ch12,10.0
adc_b3_ch13,10.0
adc_b3_ch14,10.0
adc_b3_ch15,10.0
adc_b4_ch0,10.0
adc_b4_ch1,10.0
adc_b4_ch2,10.0
adc_b4_ch3,10.0
adc_b4_ch4,10.0
adc_b4_ch5,10.0
adc_b4_ch6,10.0
adc_b4_ch7,10.0
adc_b4_ch8,10.0
adc_b4_ch9,10.0
adc_b4_ch10,10.0
adc_b4_ch11,10.0
adc_b4_ch12,10.0
adc_b4_ch13,10.0
adc_b4_ch14,10.0
adc_b4_ch15,10.0
